ds;city;pres;yhat_pres;yhat_upper_pres;yhat_lower_pres;anomaly_pres;prcp;yhat_prcp;yhat_upper_prcp;yhat_lower_prcp;anomaly_prcp
01.01.2020;Aachen;1032,4;1020,813698;1033,187609;1008,751359;0;0;0,679363206;4,209900257;-2,464964039;0
02.01.2020;Aachen;1027,1;1018,766486;1031,207184;1006,785114;0;0;1,47469287;4,765959691;-1,967265635;0
03.01.2020;Aachen;1020,7;1018,893847;1030,019794;1007,526366;0;1,1;0,885013204;4,07141036;-2,219197653;0
04.01.2020;Aachen;1031,6;1020,226201;1032,538813;1008,652942;0;0;0,968453674;4,302368263;-2,16730456;0
05.01.2020;Aachen;1035,3;1019,670508;1030,934618;1008,113415;1;0;1,285610631;4,4449995;-2,184471717;0
06.01.2020;Aachen;1027,4;1019,689073;1031,329223;1007,424625;0;0;0,919763047;4,178598508;-2,115470759;0
07.01.2020;Aachen;1026;1019,964958;1031,384413;1008,98519;0;0,3;1,391486933;4,840857639;-1,591382454;0
08.01.2020;Aachen;1024,2;1019,617833;1030,898544;1008,263749;0;3,2;1,266672684;4,327577061;-2,10347381;0
09.01.2020;Aachen;1015;1019,042692;1030,830786;1007,01043;0;5,9;1,320753025;4,63358699;-2,154039731;1
10.01.2020;Aachen;1019,1;1019,262992;1030,705803;1007,719562;0;1,1;0,752304823;4,071155477;-2,478291797;0
11.01.2020;Aachen;1031,3;1020,695349;1032,389384;1009,540574;0;0;0,860902989;4,590009113;-2,620788931;0
12.01.2020;Aachen;1023,5;1020,243744;1031,629676;1007,958812;0;0;1,206696346;4,337228928;-2,082214202;0
13.01.2020;Aachen;1017,8;1020,367203;1031,540269;1008,093126;0;0;0,872445058;4,177309878;-2,424662487;0
14.01.2020;Aachen;1007,4;1020,745312;1032,145273;1008,975949;1;0,1;1,378146017;4,593112014;-2,038823632;0
15.01.2020;Aachen;1012,7;1020,494171;1032,874674;1009,224354;0;0,6;1,289062511;4,428420564;-1,979410845;0
16.01.2020;Aachen;1024,2;1020,005223;1030,55889;1007,697046;0;0;1,379965568;4,645841861;-1,873827319;0
17.01.2020;Aachen;1017,2;1020,298506;1031,641986;1008,205641;0;0,4;0,848749909;4,060108535;-2,507477953;0
18.01.2020;Aachen;1025,7;1021,78745;1033,178073;1010,487627;0;0;0,994302403;4,153220682;-2,398259083;0
19.01.2020;Aachen;1038,1;1021,373187;1033,686439;1008,892446;1;0;1,376092547;4,856563375;-2,078384776;0
20.01.2020;Aachen;1046,8;1021,512318;1032,893523;1010,691414;1;0;1,076224221;4,563014058;-2,243025119;0
21.01.2020;Aachen;1042,8;1021,882501;1033,758425;1009,807595;1;0;1,614074765;4,879434421;-1,537127289;0
22.01.2020;Aachen;1037,7;1021,598474;1032,839823;1009,682219;1;0;1,554337388;4,851608182;-1,506694166;0
23.01.2020;Aachen;1031,9;1021,050923;1032,803879;1008,875583;0;0;1,671273997;4,785893033;-1,631871016;0
24.01.2020;Aachen;1024,5;1021,259765;1032,753175;1009,428579;0;0;1,162341124;4,392366395;-2,171344406;0
25.01.2020;Aachen;1022,1;1022,638953;1033,79275;1010,942387;0;0;1,326066602;4,822469058;-1,850261616;0
26.01.2020;Aachen;1016,8;1022,090777;1033,900417;1010,964739;0;0;1,721646351;5,118933516;-1,581356686;0
27.01.2020;Aachen;1007,1;1022,073603;1032,629965;1010,209585;1;2,3;1,431000382;4,825186073;-1,895367411;0
28.01.2020;Aachen;996,9;1022,267418;1033,508589;1010,20001;1;2;1,973413987;5,280898274;-1,292279248;0
29.01.2020;Aachen;1008,2;1021,789793;1034,026795;1009,702863;1;0;1,91358011;5,409715343;-1,392194518;0
30.01.2020;Aachen;1009,7;1021,034675;1032,690315;1009,757247;1;0,5;2,02585002;5,303472328;-1,277727551;0
31.01.2020;Aachen;1009,6;1021,025588;1032,656984;1009,496588;0;0,1;1,507855033;5,085493465;-1,889087256;0
01.02.2020;Aachen;1006,4;1022,180339;1032,975727;1010,581938;1;7,5;1,658377093;4,858813577;-1,738637761;1
02.02.2020;Aachen;1010,2;1021,405222;1032,798847;1009,916304;0;2,6;2,036937742;5,393239274;-1,174478341;0
03.02.2020;Aachen;1013,3;1021,162654;1032,580239;1009,956012;0;3,7;1,725844813;5,028504862;-1,450233609;0
04.02.2020;Aachen;1015,2;1021,136612;1032,397038;1009,37313;0;7;2,244823088;5,249538828;-1,187091261;1
05.02.2020;Aachen;1034,9;1020,448498;1030,993665;1008,847018;1;0;2,159045191;5,633598241;-1,069362512;0
06.02.2020;Aachen;1033,1;1019,495835;1031,499061;1007,590288;1;0;2,24337015;5,714720378;-1,262319031;0
07.02.2020;Aachen;1026;1019,305381;1030,590851;1007,013682;0;0;1,695952706;5,057687961;-1,620968729;0
08.02.2020;Aachen;1020,3;1020,297757;1032,086039;1008,966166;0;0,4;1,816101492;5,060106321;-1,408628097;0
09.02.2020;Aachen;1007,5;1019,381591;1031,286277;1008,543693;1;1,4;2,163855934;5,502734513;-1,372279185;0
10.02.2020;Aachen;998,2;1019,0211;1030,491095;1007,252215;1;5,4;1,822021524;5,113364022;-1,416508184;1
11.02.2020;Aachen;1006;1018,901498;1030,51613;1007,132538;1;1,3;2,310789972;5,611863866;-0,964915903;0
12.02.2020;Aachen;1014,9;1018,144841;1028,877338;1005,416503;0;0,2;2,195760769;5,564552489;-1,219767021;0
13.02.2020;Aachen;1005,3;1017,148726;1028,453674;1005,350812;1;2,8;2,252171814;5,557444944;-1,098257259;0
14.02.2020;Aachen;1018,4;1016,939412;1028,905415;1005,605564;0;0,1;1,678502349;5,084274704;-1,611291114;0
15.02.2020;Aachen;1018,3;1017,936492;1028,814659;1005,833792;0;0;1,77432646;5,192658317;-1,338592001;0
16.02.2020;Aachen;1006;1017,047071;1030,1472;1006,173844;1;2,6;2,099887076;5,392614453;-1,286362737;0
17.02.2020;Aachen;1014;1016,733414;1027,665198;1005,913761;0;1,1;1,738130126;5,016689851;-1,397011573;0
18.02.2020;Aachen;1021,5;1016,678418;1028,29194;1005,377348;0;0;2,209325364;5,550304704;-1,151020989;0
19.02.2020;Aachen;1019,4;1016,159773;1028,753052;1003,937924;0;2,3;2,079090308;5,162555892;-1,138861904;0
20.02.2020;Aachen;1016,4;1015,414034;1027,461713;1004,538416;0;2;2,12262481;5,277829373;-1,186870257;0
21.02.2020;Aachen;1025,4;1015,464541;1027,185527;1004,006402;0;0,2;1,538319367;4,594119976;-1,842885024;0
22.02.2020;Aachen;1022,6;1016,727938;1028,137611;1004,751909;0;0,1;1,625615214;5,10376057;-1,813101168;0
23.02.2020;Aachen;1018,1;1016,108439;1027,531866;1005,04096;0;15,8;1,944585883;5,192323273;-1,173780674;1
24.02.2020;Aachen;1016,1;1016,065555;1027,747199;1004,325309;0;2,2;1,577979658;4,738388097;-1,822330596;0
25.02.2020;Aachen;1001,7;1016,279644;1027,655168;1004,435782;1;1,9;2,045849145;5,147974754;-1,394623113;0
26.02.2020;Aachen;999,9;1015,867895;1027,242623;1004,544603;1;2,6;1,913584111;4,947456859;-1,419638301;0
27.02.2020;Aachen;1001,9;1015,223168;1027,14972;1003,749932;1;9,8;1,956154847;5,050222189;-1,400631646;1
28.02.2020;Aachen;1013,8;1015,367245;1026,887943;1004,279523;0;1,8;1,371728873;4,756789685;-2,017401852;0
29.02.2020;Aachen;995,8;1016,715608;1028,549297;1005,521393;1;0,9;1,459538758;4,962499513;-2,132702386;0
01.03.2020;Aachen;995,2;1016,171731;1027,550884;1004,747872;1;3,4;1,779470537;5,240176384;-1,238164074;0
02.03.2020;Aachen;991,4;1016,194794;1028,262552;1004,847107;1;5,5;1,414111916;4,897081677;-1,715245361;1
03.03.2020;Aachen;1003,2;1016,46523;1028,217943;1004,937601;1;0,7;1,883386329;5,185243529;-1,350231201;0
04.03.2020;Aachen;1010,8;1016,100673;1027,701207;1004,68654;0;0;1,75258888;5,039524596;-1,48543666;0
05.03.2020;Aachen;995;1015,494764;1027,734315;1004,46401;1;12,6;1,796631343;4,943636459;-1,626308719;1
06.03.2020;Aachen;995,9;1015,670349;1028,030143;1003,956841;1;9,1;1,213658993;4,598590989;-1,964739498;1
07.03.2020;Aachen;1017,4;1017,044204;1028,243172;1005,514384;0;0;1,302917079;4,271687121;-1,950694624;0
08.03.2020;Aachen;1013,6;1016,521251;1028,285882;1004,720755;0;1,2;1,624336465;4,999821164;-2,031652512;0
09.03.2020;Aachen;1012,9;1016,562215;1028,610303;1005,418579;0;0;1,260577749;4,60386666;-2,190575312;0
10.03.2020;Aachen;1008,3;1016,849087;1028,545519;1005,631133;0;18,5;1,731660083;5,184963937;-1,757563269;1
11.03.2020;Aachen;1012,3;1016,501009;1028,22613;1004,941555;0;14,3;1,602990899;5,028718518;-1,547856871;1
12.03.2020;Aachen;1012,1;1015,913008;1027,654973;1003,777975;0;1,7;1,649603964;4,920529416;-1,674686822;0
13.03.2020;Aachen;1017,8;1016,10913;1027,646111;1004,904898;0;0;1,069768759;4,109342264;-2,202225087;0
14.03.2020;Aachen;1020,2;1017,507108;1028,805512;1004,926273;0;0;1,162849279;4,506919653;-2,053413867;0
15.03.2020;Aachen;1014,5;1017,012537;1027,924215;1005,940048;0;0;1,488882046;4,827461608;-1,798289519;0
16.03.2020;Aachen;1018,9;1017,086486;1027,997756;1005,306542;0;0;1,130612925;4,467850647;-1,991825959;0
17.03.2020;Aachen;1029,4;1017,41094;1028,536147;1005,446446;1;0,1;1,608119233;5,058544962;-1,617829315;0
18.03.2020;Aachen;1027,6;1017,104677;1028,471515;1004,650376;0;0;1,486833611;4,819221962;-2,105699443;0
19.03.2020;Aachen;1025;1016,561999;1028,29397;1004,929195;0;0;1,541777292;4,765422882;-1,935510017;0
20.03.2020;Aachen;1024,3;1016,805884;1028,823896;1005,071132;0;3,9;0,971165983;4,41687546;-2,349564199;0
21.03.2020;Aachen;1025,6;1018,252681;1029,982725;1006,4243;0;4,6;1,074266591;4,261784223;-2,100390238;1
22.03.2020;Aachen;1028,1;1017,806323;1029,082415;1005,867495;0;0;1,410974727;4,78998578;-1,770734125;0
23.03.2020;Aachen;1031,2;1017,925994;1030,008587;1006,801949;1;0;1,063852634;4,401040749;-2,445772038;0
24.03.2020;Aachen;1030,3;1018,29163;1029,545706;1007,274822;1;0;1,55275405;5,016599618;-1,775456374;0
25.03.2020;Aachen;1026,2;1018,019862;1029,112447;1006,381941;0;0;1,442852448;4,663833447;-2,011475108;0
